date,fund,company,ticker,cusip,shares,market value ($),weight (%)
03/25/2026,ARKG,TEMPUS AI INC-CL A,TEM,88023B103,"1,987,973","$97,072,721.59",9.24%
03/25/2026,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"1,986,817","$94,353,939.33",8.98%
03/25/2026,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,"2,022,501","$93,904,721.43",8.94%
03/25/2026,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,"3,095,761","$61,327,025.41",5.84%
03/25/2026,ARKG,PERSONALIS INC,PSNL,71535D106,"7,677,952","$59,734,466.56",5.69%
03/25/2026,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,"2,126,772","$50,936,189.40",4.85%
03/25/2026,ARKG,ILLUMINA INC,ILMN,452327109,"376,163","$47,389,014.74",4.51%
03/25/2026,ARKG,NATERA INC,NTRA,632307104,"233,428","$45,406,414.56",4.32%
03/25/2026,ARKG,GUARDANT HEALTH INC,GH,40131M109,"475,035","$39,708,175.65",3.78%
03/25/2026,ARKG,CAREDX INC,CDNA,14167L103,"2,141,314","$38,201,041.76",3.64%
03/25/2026,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"12,018,150","$38,097,535.50",3.63%
03/25/2026,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"2,910,341","$37,281,468.21",3.55%
03/25/2026,ARKG,ABSCI CORP,ABSI,00091E109,"11,373,602","$34,234,542.02",3.26%
03/25/2026,ARKG,VERACYTE INC,VCYT,92337F107,"1,038,410","$34,205,225.40",3.26%
03/25/2026,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,"2,033,716","$28,268,652.40",2.69%
03/25/2026,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,"1,650,794","$23,837,465.36",2.27%
03/25/2026,ARKG,GENEDX HOLDINGS CORP,WGS,81663L200,"343,844","$23,611,767.48",2.25%
03/25/2026,ARKG,SCHRODINGER INC,SDGR,80810D103,"2,004,614","$23,193,383.98",2.21%
03/25/2026,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,"5,029,269","$21,324,100.56",2.03%
03/25/2026,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,"290,564","$20,246,499.52",1.93%
03/25/2026,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,"2,616,129","$17,397,257.85",1.66%
03/25/2026,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,"3,175,761","$16,577,472.42",1.58%
03/25/2026,ARKG,PRIME MEDICINE INC,PRME,74168J101,"4,717,404","$16,605,262.08",1.58%
03/25/2026,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"10,541,523","$14,652,716.97",1.39%
03/25/2026,ARKG,ATAIBECKLEY INC,ATAI UQ,04650F101,"4,197,139","$14,186,329.82",1.35%
03/25/2026,ARKG,CERUS CORP,CERS,157085101,"7,135,219","$12,629,337.63",1.20%
03/25/2026,ARKG,908 DEVICES INC,MASS,65443P102,"1,869,917","$11,724,379.59",1.12%
03/25/2026,ARKG,ELI LILLY & CO,LLY,532457108,"12,046","$10,877,778.92",1.04%
03/25/2026,ARKG,BIONTECH SE-ADR,BNTX,09075V102,"121,574","$10,553,838.94",1.00%
03/25/2026,ARKG,GENERATE BIOMEDICINES INC,GENB,370920100,"482,251","$5,801,479.53",0.55%
03/25/2026,ARKG,QUANTUM-SI INC,QSI,74765K105,"6,635,148","$5,647,174.46",0.54%
03/25/2026,ARKG,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"1,612,496","$1,612,496.35",0.15%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2026. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
