date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/14/2026,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,"2,004,630","$109,913,862.90",10.06%
04/14/2026,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"1,969,261","$99,211,369.18",9.08%
04/14/2026,ARKG,TEMPUS AI INC-CL A,TEM,88023B103,"1,991,901","$91,587,607.98",8.38%
04/14/2026,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,"3,068,405","$72,352,989.90",6.62%
04/14/2026,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,"2,107,977","$63,618,745.86",5.82%
04/14/2026,ARKG,PERSONALIS INC,PSNL,71535D106,"7,610,094","$48,019,693.14",4.40%
04/14/2026,ARKG,ILLUMINA INC,ILMN,452327109,"372,845","$47,336,401.20",4.33%
04/14/2026,ARKG,NATERA INC,NTRA,632307104,"231,370","$46,713,603.00",4.28%
04/14/2026,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"2,884,623","$41,134,723.98",3.77%
04/14/2026,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"11,911,932","$40,738,807.44",3.73%
04/14/2026,ARKG,GUARDANT HEALTH INC,GH,40131M109,"470,842","$38,707,920.82",3.54%
04/14/2026,ARKG,CAREDX INC,CDNA,14167L103,"2,122,393","$35,719,874.19",3.27%
04/14/2026,ARKG,ABSCI CORP,ABSI,9.10E+110,"11,273,082","$34,382,900.10",3.15%
04/14/2026,ARKG,VERACYTE INC,VCYT,92337F107,"949,197","$30,791,950.68",2.82%
04/14/2026,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,"2,015,747","$28,482,505.11",2.61%
04/14/2026,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,"1,636,206","$26,032,037.46",2.38%
04/14/2026,ARKG,GENEDX HOLDINGS CORP,WGS,81663L200,"380,922","$23,228,623.56",2.13%
04/14/2026,ARKG,SCHRODINGER INC,SDGR,80810D103,"1,986,897","$22,749,970.65",2.08%
04/14/2026,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,"2,666,411","$22,557,837.06",2.06%
04/14/2026,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,"4,984,819","$21,335,025.32",1.95%
04/14/2026,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,"273,614","$20,507,369.30",1.88%
04/14/2026,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,"3,147,698","$18,162,217.46",1.66%
04/14/2026,ARKG,PRIME MEDICINE INC,PRME,74168J101,"4,675,712","$17,113,105.92",1.57%
04/14/2026,ARKG,ATAIBECKLEY INC,ATAI UQ,04650F101,"4,160,046","$15,766,574.34",1.44%
04/14/2026,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"10,448,353","$15,150,111.85",1.39%
04/14/2026,ARKG,CERUS CORP,CERS,157085101,"7,072,156","$13,578,539.52",1.24%
04/14/2026,ARKG,908 DEVICES INC,MASS,65443P102,"1,853,390","$13,344,408.00",1.22%
04/14/2026,ARKG,BIONTECH SE-ADR,BNTX,09075V102,"120,503","$11,652,640.10",1.07%
04/14/2026,ARKG,ELI LILLY & CO,LLY,532457108,"11,941","$11,099,756.55",1.02%
04/14/2026,ARKG,GENERATE BIOMEDICINES INC,GENB,370920100,"477,995","$6,118,336.00",0.56%
04/14/2026,ARKG,QUANTUM-SI INC,QSI,74765K105,"6,576,509","$5,186,892.65",0.47%
04/14/2026,ARKG,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"234,191","$234,191.38",0.02%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2026. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
