date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/22/2026,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"1,842,700","$115,371,447.00",9.72%
04/22/2026,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,"1,979,100","$109,919,214.00",9.26%
04/22/2026,ARKG,TEMPUS AI INC-CL A,TEM,88023B103,"1,966,531","$108,454,184.65",9.13%
04/22/2026,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,"3,029,325","$69,583,595.25",5.86%
04/22/2026,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,"2,081,127","$63,869,787.63",5.38%
04/22/2026,ARKG,ILLUMINA INC,ILMN,452327109,"368,135","$48,586,457.30",4.09%
04/22/2026,ARKG,NATERA INC,NTRA,632307104,"228,430","$46,924,090.60",3.95%
04/22/2026,ARKG,PERSONALIS INC,PSNL,71535D106,"7,513,154","$46,882,080.96",3.95%
04/22/2026,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"2,847,883","$43,601,088.73",3.67%
04/22/2026,ARKG,ABSCI CORP,ABSI,00091E109,"11,129,482","$43,404,979.80",3.66%
04/22/2026,ARKG,GUARDANT HEALTH INC,GH,40131M109,"464,852","$42,004,026.72",3.54%
04/22/2026,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"11,760,192","$41,866,283.52",3.53%
04/22/2026,ARKG,CAREDX INC,CDNA,14167L103,"1,883,397","$39,042,819.81",3.29%
04/22/2026,ARKG,VERACYTE INC,VCYT,92337F107,"937,107","$31,402,455.57",2.64%
04/22/2026,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,"3,107,608","$28,745,374.00",2.42%
04/22/2026,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,"1,990,077","$28,278,994.17",2.38%
04/22/2026,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,"1,615,366","$26,556,617.04",2.24%
04/22/2026,ARKG,GENEDX HOLDINGS CORP,WGS,81663L200,"376,072","$25,610,503.20",2.16%
04/22/2026,ARKG,SCHRODINGER INC,SDGR,80810D103,"1,961,587","$25,265,240.56",2.13%
04/22/2026,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,"4,581,657","$24,970,030.65",2.10%
04/22/2026,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,"2,632,451","$23,218,217.82",1.96%
04/22/2026,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,"270,134","$20,200,620.52",1.70%
04/22/2026,ARKG,ATAIBECKLEY INC,ATAI UQ,04650F101,"4,107,056","$20,001,362.72",1.68%
04/22/2026,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"10,315,253","$17,845,387.69",1.50%
04/22/2026,ARKG,PRIME MEDICINE INC,PRME,74168J101,"4,616,152","$17,587,539.12",1.48%
04/22/2026,ARKG,CERUS CORP,CERS,157085101,"6,982,066","$13,475,387.38",1.13%
04/22/2026,ARKG,908 DEVICES INC,MASS,65443P102,"1,829,780","$13,284,202.80",1.12%
04/22/2026,ARKG,BIONTECH SE-ADR,BNTX,09075V102,"118,973","$13,277,386.80",1.12%
04/22/2026,ARKG,ALAMAR BIOSCIENCES INC,,010911105,"559,093","$12,987,730.39",1.09%
04/22/2026,ARKG,ELI LILLY & CO,LLY,532457108,"11,791","$10,647,508.82",0.90%
04/22/2026,ARKG,QUANTUM-SI INC,QSI,74765K105,"6,492,739","$6,343,406.00",0.53%
04/22/2026,ARKG,GENERATE BIOMEDICINES INC,GENB,370920100,"471,915","$5,979,163.05",0.50%
04/22/2026,ARKG,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"2,104,061","$2,104,060.78",0.18%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2026. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
