date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/13/2026,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"633,505","$70,186,018.95",9.11%
04/13/2026,ARKF,ARK BITCOIN ETF HOLDCO (ARKF),,MM005473T,"2,178,055","$52,940,240.44",6.87%
04/13/2026,ARKF,CIRCLE INTERNET GROUP INC,CRCL,172573107,"498,012","$43,844,976.48",5.69%
04/13/2026,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"257,140","$43,160,949.00",5.60%
04/13/2026,ARKF,BLOCK INC,XYZ,852234103,"623,690","$38,793,518.00",5.04%
04/13/2026,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,"479,617","$33,184,700.23",4.31%
04/13/2026,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"250,047","$32,021,018.82",4.16%
04/13/2026,ARKF,TOAST INC-CLASS A,TOST,888787108,"1,195,698","$30,370,729.20",3.94%
04/13/2026,ARKF,BULLISH,BLSH,G16910120,"780,550","$28,279,326.50",3.67%
04/13/2026,ARKF,ADVANCED MICRO DEVICES,AMD,7903107,"112,364","$27,533,674.56",3.57%
04/13/2026,ARKF,MERCADOLIBRE INC,MELI,58733R102,"14,724","$26,119,787.04",3.39%
04/13/2026,ARKF,AMAZON.COM INC,AMZN,23135106,"107,763","$25,688,543.94",3.34%
04/13/2026,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,"406,066","$22,573,208.94",2.93%
04/13/2026,ARKF,OpenAI Group PBC - Series C,,PPOPENAIC,"31,991","$21,999,791.62",2.86%
04/13/2026,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,"1,291,857","$20,953,920.54",2.72%
04/13/2026,ARKF,ROKU INC,ROKU,77543R102,"203,569","$20,859,715.43",2.71%
04/13/2026,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,"31,986","$20,146,701.96",2.62%
04/13/2026,ARKF,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"834,306","$17,754,031.68",2.30%
04/13/2026,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,"1,170,765","$17,514,644.40",2.27%
04/13/2026,ARKF,ADYEN NV,ADYEN,BZ1HM42,"16,214","$16,329,990.85",2.12%
04/13/2026,ARKF,SEA LTD-ADR,SE,81141R100,"173,064","$14,869,658.88",1.93%
04/13/2026,ARKF,NVIDIA CORP,NVDA,67066G104,"75,494","$14,240,433.22",1.85%
04/13/2026,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"634,367","$14,101,978.41",1.83%
04/13/2026,ARKF,FUTU HOLDINGS LTD-ADR,FUTU,36118L106,"89,825","$13,877,962.50",1.80%
04/13/2026,ARKF,AIRBNB INC-CLASS A,ABNB,9066101,"93,484","$12,055,696.64",1.57%
04/13/2026,ARKF,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"24,414","$11,620,819.86",1.51%
04/13/2026,ARKF,KLARNA GROUP PLC,KLAR,G5279N105,"778,161","$10,147,219.44",1.32%
04/13/2026,ARKF,DOORDASH INC - A,DASH,25809K105,"64,123","$9,783,887.34",1.27%
04/13/2026,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,"74,337","$9,465,330.21",1.23%
04/13/2026,ARKF,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"24,205","$9,174,179.10",1.19%
04/13/2026,ARKF,ETORO GROUP LTD-A,ETOR,G32089107,"281,547","$8,984,164.77",1.17%
04/13/2026,ARKF,ZILLOW GROUP INC - C,Z,98954M200,"166,685","$6,645,730.95",0.86%
04/13/2026,ARKF,PAYPAY CORP,PAYP,70450C101,"267,663","$5,380,026.30",0.70%
04/13/2026,ARKF,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"565,048","$4,932,869.04",0.64%
04/13/2026,ARKF,JSC KASPI.KZ ADR,KSPI,BJY21K1,"62,632","$4,690,510.48",0.61%
04/13/2026,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,"22,281","$3,578,328.60",0.46%
04/13/2026,ARKF,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,"401,283","$2,760,827.04",0.36%
04/13/2026,ARKF,CANTON STRATEGIC HOLDINGS IN,CNTN,432705309,"443,051","$1,322,507.24",0.17%
04/13/2026,ARKF,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"1,237,264","$1,237,263.93",0.16%
04/13/2026,ARKF,BRERA HOLDINGS PLC-CL B,SLMT,G13311116,"958,637","$748,695.50",0.10%
04/13/2026,ARKF,BRERA HOLDINGS PLC WTS,,BREADUMMY,"788,053","$394,026.50",0.05%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2026. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
