date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/15/2026,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"633,505","$74,525,528.20",9.07%
04/15/2026,ARKF,ARK BITCOIN ETF HOLDCO (ARKF),,MM005473T,"2,178,055","$53,702,559.69",6.54%
04/15/2026,ARKF,CIRCLE INTERNET GROUP INC,CRCL,172573107,"498,012","$52,535,285.88",6.40%
04/15/2026,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"257,140","$47,419,187.40",5.77%
04/15/2026,ARKF,BLOCK INC,XYZ,852234103,"623,690","$41,257,093.50",5.02%
04/15/2026,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,"479,617","$37,932,908.53",4.62%
04/15/2026,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"250,047","$33,931,377.90",4.13%
04/15/2026,ARKF,TOAST INC-CLASS A,TOST,888787108,"1,195,698","$32,403,415.80",3.95%
04/15/2026,ARKF,BULLISH,BLSH,G16910120,"780,550","$31,705,941.00",3.86%
04/15/2026,ARKF,ADVANCED MICRO DEVICES,AMD,7903107,"112,364","$28,660,685.48",3.49%
04/15/2026,ARKF,MERCADOLIBRE INC,MELI,58733R102,"14,724","$27,101,877.84",3.30%
04/15/2026,ARKF,AMAZON.COM INC,AMZN,23135106,"107,763","$26,835,142.26",3.27%
04/15/2026,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,"406,066","$23,673,647.80",2.88%
04/15/2026,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,"1,291,857","$23,137,158.87",2.82%
04/15/2026,ARKF,OpenAI Group PBC - Series C,,PPOPENAIC,"31,991","$21,999,791.62",2.68%
04/15/2026,ARKF,ROKU INC,ROKU,77543R102,"203,569","$21,688,241.26",2.64%
04/15/2026,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,"31,986","$21,190,405.14",2.58%
04/15/2026,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,"1,170,765","$17,971,242.75",2.19%
04/15/2026,ARKF,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"834,306","$17,920,892.88",2.18%
04/15/2026,ARKF,ADYEN NV,ADYEN,BZ1HM42,"16,214","$17,706,667.69",2.16%
04/15/2026,ARKF,NVIDIA CORP,NVDA,67066G104,"75,494","$14,835,325.94",1.81%
04/15/2026,ARKF,SEA LTD-ADR,SE,81141R100,"173,064","$14,814,278.40",1.80%
04/15/2026,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"634,367","$14,565,066.32",1.77%
04/15/2026,ARKF,FUTU HOLDINGS LTD-ADR,FUTU,36118L106,"89,825","$14,537,278.00",1.77%
04/15/2026,ARKF,AIRBNB INC-CLASS A,ABNB,9066101,"93,484","$12,512,833.40",1.52%
04/15/2026,ARKF,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"24,414","$12,484,343.04",1.52%
04/15/2026,ARKF,KLARNA GROUP PLC,KLAR,G5279N105,"778,161","$11,096,575.86",1.35%
04/15/2026,ARKF,DOORDASH INC - A,DASH,25809K105,"64,123","$10,487,316.65",1.28%
04/15/2026,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,"74,337","$9,764,164.95",1.19%
04/15/2026,ARKF,ETORO GROUP LTD-A,ETOR,G32089107,"281,547","$9,775,311.84",1.19%
04/15/2026,ARKF,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"24,205","$9,645,450.45",1.17%
04/15/2026,ARKF,ZILLOW GROUP INC - C,Z,98954M200,"166,685","$6,815,749.65",0.83%
04/15/2026,ARKF,PAYPAY CORP,PAYP,70450C101,"267,663","$5,939,441.97",0.72%
04/15/2026,ARKF,JSC KASPI.KZ ADR,KSPI,BJY21K1,"62,632","$5,157,118.88",0.63%
04/15/2026,ARKF,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"565,048","$5,108,033.92",0.62%
04/15/2026,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,"22,281","$3,610,413.24",0.44%
04/15/2026,ARKF,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,"401,283","$2,720,698.74",0.33%
04/15/2026,ARKF,CANTON STRATEGIC HOLDINGS IN,CNTN,432705309,"443,051","$1,501,942.89",0.18%
04/15/2026,ARKF,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"1,402,308","$1,402,308.28",0.17%
04/15/2026,ARKF,BRERA HOLDINGS PLC-CL B,SLMT,G13311116,"958,637","$805,255.08",0.10%
04/15/2026,ARKF,BRERA HOLDINGS PLC WTS,,BREADUMMY,"788,053","$433,429.15",0.05%
