date,fund,company,ticker,cusip,shares,market value ($),weight (%)
06/11/2026,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"632,754","$68,463,982.80",9.47%
06/11/2026,ARKF,ARK BITCOIN ETF HOLDCO (ARKF),,MM005473T,"2,096,992","$43,021,887.87",5.95%
06/11/2026,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,"469,304","$40,529,093.44",5.61%
06/11/2026,ARKF,BLOCK INC,XYZ,852234103,"594,145","$39,587,881.35",5.48%
06/11/2026,ARKF,CIRCLE INTERNET GROUP INC,CRCL,172573107,"478,046","$37,732,170.78",5.22%
06/11/2026,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"244,961","$37,716,645.17",5.22%
06/11/2026,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"238,210","$31,017,324.10",4.29%
06/11/2026,ARKF,TOAST INC-CLASS A,TOST,888787108,"1,204,676","$29,273,626.80",4.05%
06/11/2026,ARKF,AMAZON.COM INC,AMZN,023135106,"115,018","$27,374,284.00",3.79%
06/11/2026,ARKF,ADVANCED MICRO DEVICES,AMD,007903107,"57,405","$25,970,022.00",3.59%
06/11/2026,ARKF,MERCADOLIBRE INC,MELI,58733R102,"14,040","$22,299,591.60",3.08%
06/11/2026,ARKF,ROKU INC,ROKU,77543R102,"188,837","$22,082,598.78",3.05%
06/11/2026,ARKF,OPENAI GROUP PBC SERIES C,,PPOPENAIC,"31,991","$21,999,791.62",3.04%
06/11/2026,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,"36,957","$21,101,707.86",2.92%
06/11/2026,ARKF,BULLISH,BLSH,G16910120,"776,603","$20,269,338.30",2.80%
06/11/2026,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,"1,230,658","$19,530,542.46",2.70%
06/11/2026,ARKF,NVIDIA CORP,NVDA,67066G104,"90,433","$18,124,581.86",2.51%
06/11/2026,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"604,328","$17,398,603.12",2.41%
06/11/2026,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,"414,007","$17,181,290.50",2.38%
06/11/2026,ARKF,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"23,065","$14,940,123.10",2.07%
06/11/2026,ARKF,ADYEN NV,ADYEN,BZ1HM42,"15,454","$14,324,254.88",1.98%
06/11/2026,ARKF,SEA LTD-ADR,SE,81141R100,"164,875","$13,592,295.00",1.88%
06/11/2026,ARKF,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"26,964","$13,565,588.40",1.88%
06/11/2026,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,"1,115,304","$12,959,832.48",1.79%
06/11/2026,ARKF,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"794,786","$12,430,453.04",1.72%
06/11/2026,ARKF,KLARNA GROUP PLC,KLAR,G5279N105,"741,301","$11,697,729.78",1.62%
06/11/2026,ARKF,AIRBNB INC-CLASS A,ABNB,009066101,"89,057","$11,497,258.70",1.59%
06/11/2026,ARKF,ETORO GROUP LTD-A,ETOR,G32089107,"268,209","$10,127,571.84",1.40%
06/11/2026,ARKF,FUTU HOLDINGS LTD-ADR,FUTU,36118L106,"104,768","$9,736,090.24",1.35%
06/11/2026,ARKF,DOORDASH INC - A,DASH,25809K105,"61,102","$9,226,402.00",1.28%
06/11/2026,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,"70,822","$8,098,495.70",1.12%
06/11/2026,ARKF,ZILLOW GROUP INC - C,Z,98954M200,"158,800","$5,388,084.00",0.75%
06/11/2026,ARKF,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"538,277","$3,455,738.34",0.48%
06/11/2026,ARKF,JSC KASPI.KZ ADR,KSPI,BJY21K1,"43,220","$3,396,011.50",0.47%
06/11/2026,ARKF,PAYPAY CORP,PAYP,70450C101,"254,990","$3,429,615.50",0.47%
06/11/2026,ARKF,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,"382,283","$2,006,985.75",0.28%
06/11/2026,ARKF,CANTON STRATEGIC HOLDINGS IN,CNTN,432705309,"422,075","$1,245,121.25",0.17%
06/11/2026,ARKF,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"569,193","$569,192.74",0.08%
06/11/2026,ARKF,BRERA HOLDINGS PLC-CL B,,G13311132,"91,322","$459,349.66",0.06%
06/11/2026,ARKF,BRERA HOLDINGS PLC WTS,,BREADUMMY,"78,805","$211,198.20",0.03%
