date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/06/2026,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"633,505","$74,911,966.25",9.81%
04/06/2026,ARKF,ARK BITCOIN ETF HOLDCO (ARKF),,MM005473T,"2,178,055","$48,431,666.59",6.34%
04/06/2026,ARKF,CIRCLE INTERNET GROUP INC,CRCL,172573107,"498,012","$44,950,563.12",5.88%
04/06/2026,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"257,140","$44,089,224.40",5.77%
04/06/2026,ARKF,BLOCK INC,XYZ,852234103,"623,690","$37,284,188.20",4.88%
04/06/2026,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"244,074","$36,235,226.04",4.74%
04/06/2026,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,"462,699","$31,879,961.10",4.17%
04/06/2026,ARKF,TOAST INC-CLASS A,TOST,888787108,"1,195,698","$31,650,126.06",4.14%
04/06/2026,ARKF,BULLISH,BLSH,G16910120,"780,550","$28,388,603.50",3.72%
04/06/2026,ARKF,MERCADOLIBRE INC,MELI,58733R102,"14,724","$25,259,316.48",3.31%
04/06/2026,ARKF,ADVANCED MICRO DEVICES,AMD,7903107,"115,469","$25,114,507.50",3.29%
04/06/2026,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,"406,066","$24,408,627.26",3.20%
04/06/2026,ARKF,AMAZON.COM INC,AMZN,23135106,"107,763","$22,605,444.51",2.96%
04/06/2026,ARKF,OpenAI Group PBC,,PPOPENAIC,"31,991","$21,999,791.62",2.88%
04/06/2026,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,"1,291,857","$20,475,933.45",2.68%
04/06/2026,ARKF,ROKU INC,ROKU,77543R102,"203,569","$19,880,548.54",2.60%
04/06/2026,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,"31,986","$18,374,677.56",2.41%
04/06/2026,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,"1,170,765","$16,566,324.75",2.17%
04/06/2026,ARKF,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"834,306","$16,227,251.70",2.12%
04/06/2026,ARKF,ADYEN NV,ADYEN,BZ1HM42,"16,214","$15,807,041.62",2.07%
