date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/16/2026,ARKW,TESLA INC,TSLA,88160R101,"384,370","$150,653,821.50",8.94%
04/16/2026,ARKW,ADVANCED MICRO DEVICES,AMD,7903107,"523,099","$135,022,313.90",8.01%
04/16/2026,ARKW,ARK BITCOIN ETF HOLDCO (ARKW),,MM0051EWE,"3,937,558","$98,084,176.02",5.82%
04/16/2026,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,"1,027,208","$89,695,802.56",5.32%
04/16/2026,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,"634,189","$80,802,020.49",4.80%
04/16/2026,ARKW,CIRCLE INTERNET GROUP INC,CRCL,172573107,"747,573","$78,883,902.96",4.68%
04/16/2026,ARKW,COREWEAVE INC-CL A,CRWV,21873S108,"617,715","$73,316,593.35",4.35%
04/16/2026,ARKW,ROKU INC,ROKU,77543R102,"637,267","$69,672,401.11",4.14%
04/16/2026,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"338,318","$66,276,496.20",3.93%
04/16/2026,ARKW,ALPHABET INC-CL C,GOOG,02079K107,"175,272","$58,623,225.84",3.48%
04/16/2026,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,"937,437","$56,049,358.23",3.33%
04/16/2026,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"345,454","$49,106,286.10",2.91%
04/16/2026,ARKW,BLOCK INC,XYZ,852234103,"683,436","$46,453,144.92",2.76%
04/16/2026,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"120,667","$45,262,191.70",2.69%
04/16/2026,ARKW,OpenAI Group PBC - Series C,,PPOPENAIC,"62,528","$42,999,686.48",2.55%
04/16/2026,ARKW,AMAZON.COM INC,AMZN,23135106,"171,394","$42,591,409.00",2.53%
04/16/2026,ARKW,BULLISH,BLSH,G16910120,"957,339","$39,892,316.13",2.37%
04/16/2026,ARKW,BROADCOM INC,AVGO,11135F101,"95,295","$37,805,432.40",2.24%
