date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/01/2026,ARKW,TESLA INC,TSLA,88160R101,"389,017","$144,617,069.80",9.55%
04/01/2026,ARKW,ADVANCED MICRO DEVICES,AMD,7903107,"535,670","$108,971,348.10",7.20%
04/01/2026,ARKW,ARK BITCOIN ETF HOLDCO (ARKW),,MM0051EWE,"3,937,558","$88,555,285.66",5.85%
04/01/2026,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,"641,860","$76,137,433.20",5.03%
04/01/2026,ARKW,CIRCLE INTERNET GROUP INC,CRCL,172573107,"756,615","$72,188,637.15",4.77%
04/01/2026,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,"1,005,754","$69,698,752.20",4.60%
04/01/2026,ARKW,ROKU INC,ROKU,77543R102,"668,394","$63,243,440.28",4.18%
04/01/2026,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"342,410","$59,788,210.10",3.95%
04/01/2026,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,"948,774","$53,662,657.44",3.54%
04/01/2026,ARKW,ALPHABET INC-CL C,GOOG,02079K107,"177,390","$50,886,095.40",3.36%
04/01/2026,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"337,624","$49,387,638.72",3.26%
04/01/2026,ARKW,COREWEAVE INC-CL A,CRWV,21873S108,"625,185","$48,433,081.95",3.20%
04/01/2026,ARKW,OpenAI Group PBC Series C,,PPOPENAIC,"62,528","$42,999,686.48",2.84%
04/01/2026,ARKW,BLOCK INC,XYZ,852234103,"691,701","$41,626,566.18",2.75%
04/01/2026,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"122,125","$41,272,143.75",2.73%
04/01/2026,ARKW,AMAZON.COM INC,AMZN,23135106,"173,467","$36,127,972.09",2.39%
04/01/2026,ARKW,BULLISH,BLSH,G16910120,"968,919","$34,619,475.87",2.29%
