date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/21/2026,ARKW,TESLA INC,TSLA,88160R101,"376,625","$147,825,312.50",8.71%
04/21/2026,ARKW,ADVANCED MICRO DEVICES,AMD,7903107,"512,554","$140,926,722.30",8.31%
04/21/2026,ARKW,ARK BITCOIN ETF HOLDCO (ARKW),,MM0051EWE,"3,937,558","$99,698,574.80",5.88%
04/21/2026,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,"1,006,503","$91,868,561.33",5.41%
04/21/2026,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,"621,404","$83,976,536.56",4.95%
04/21/2026,ARKW,CIRCLE INTERNET GROUP INC,CRCL,172573107,"721,085","$76,694,600.60",4.52%
04/21/2026,ARKW,ROKU INC,ROKU,77543R102,"624,422","$74,137,624.06",4.37%
04/21/2026,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"331,498","$70,154,921.74",4.14%
04/21/2026,ARKW,COREWEAVE INC-CL A,CRWV,21873S108,"583,683","$68,541,894.69",4.04%
04/21/2026,ARKW,ALPHABET INC-CL C,GOOG,02079K107,"171,742","$57,602,266.80",3.40%
04/21/2026,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,"918,541","$56,793,390.03",3.35%
04/21/2026,ARKW,BLOCK INC,XYZ,852234103,"669,661","$49,481,251.29",2.92%
04/21/2026,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"338,494","$49,382,889.66",2.91%
04/21/2026,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"118,237","$43,303,118.88",2.55%
04/21/2026,ARKW,OPENAI GROUP PBC SERIES C,,PPOPENAIC,"62,528","$42,999,686.48",2.53%
04/21/2026,ARKW,AMAZON.COM INC,AMZN,23135106,"167,939","$41,695,894.92",2.46%
04/21/2026,ARKW,BULLISH,BLSH,G16910120,"906,751","$39,080,968.10",2.30%
04/21/2026,ARKW,BROADCOM INC,AVGO,11135F101,"93,375","$37,315,451.25",2.20%
04/21/2026,ARKW,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"1,565,383","$35,268,078.99",2.08%
04/21/2026,ARKW,META PLATFORMS INC-CLASS A,META,30303M102,"45,335","$30,415,704.85",1.79%
04/21/2026,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,"147,144","$30,136,562.64",1.78%
04/21/2026,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"67,222","$29,117,209.30",1.72%
