date,fund,company,ticker,cusip,shares,market value ($),weight (%)
03/30/2026,ARKW,TESLA INC,TSLA,88160R101,"389,017","$140,758,021.11",9.71%
03/30/2026,ARKW,ADVANCED MICRO DEVICES,AMD,007903107,"535,670","$108,199,983.30",7.46%
03/30/2026,ARKW,ARK BITCOIN ETF HOLDCO (ARKW),,MM0051EWE,"3,937,558","$86,232,126.44",5.95%
03/30/2026,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,"641,860","$71,792,041.00",4.95%
03/30/2026,ARKW,CIRCLE INTERNET GROUP INC,CRCL,172573107,"756,615","$70,864,560.90",4.89%
03/30/2026,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,"1,005,754","$66,399,879.08",4.58%
03/30/2026,ARKW,ROKU INC,ROKU,77543R102,"668,394","$58,250,537.10",4.02%
03/30/2026,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"342,410","$55,175,947.40",3.81%
03/30/2026,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,"948,774","$49,630,367.94",3.42%
03/30/2026,ARKW,ALPHABET INC-CL C,GOOG,02079K107,"177,390","$48,562,286.40",3.35%
03/30/2026,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"337,624","$48,300,489.44",3.33%
03/30/2026,ARKW,COREWEAVE INC-CL A,CRWV,21873S108,"625,185","$46,770,089.85",3.23%
03/30/2026,ARKW,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"40,601,005","$40,601,004.95",2.80%
03/30/2026,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"122,125","$39,903,122.50",2.75%
03/30/2026,ARKW,BLOCK INC,XYZ,852234103,"691,701","$38,721,421.98",2.67%
03/30/2026,ARKW,AMAZON.COM INC,AMZN,023135106,"173,467","$34,578,911.78",2.39%
03/30/2026,ARKW,BULLISH,BLSH,G16910120,"968,919","$33,359,881.17",2.30%
03/30/2026,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,"151,984","$30,855,791.68",2.13%
03/30/2026,ARKW,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"1,616,911","$29,734,993.29",2.05%
03/30/2026,ARKW,BROADCOM INC,AVGO,11135F101,"96,447","$28,999,683.96",2.00%
03/30/2026,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"69,430","$25,659,939.40",1.77%
03/30/2026,ARKW,META PLATFORMS INC-CLASS A,META,30303M102,"46,823","$24,615,787.56",1.70%
03/30/2026,ARKW,DATADOG INC - CLASS A,DDOG,23804L103,"191,518","$21,924,980.64",1.51%
03/30/2026,ARKW,FIGMA INC-CL A,,316841105,"1,072,199","$21,647,697.81",1.49%
03/30/2026,ARKW,EVERPURE INC-A,PSTG,74624M102,"351,559","$20,734,949.82",1.43%
03/30/2026,ARKW,NETFLIX INC,NFLX,64110L106,"217,421","$20,313,644.03",1.40%
03/30/2026,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,"138,559","$16,999,803.71",1.17%
03/30/2026,ARKW,RUBRIK INC-A,RBRK,781154109,"353,966","$16,186,865.18",1.12%
03/30/2026,ARKW,TOAST INC-CLASS A,TOST,888787108,"615,056","$15,770,035.84",1.09%
03/30/2026,ARKW,NVIDIA CORP,NVDA,67066G104,"92,814","$15,548,201.28",1.07%
03/30/2026,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"32,396","$15,306,462.08",1.06%
