date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/10/2026,ARKW,TESLA INC,TSLA,88160R101,"384,370","$132,845,959.40",8.73%
04/10/2026,ARKW,ADVANCED MICRO DEVICES,AMD,7903107,"529,268","$125,245,979.50",8.23%
04/10/2026,ARKW,ARK BITCOIN ETF HOLDCO (ARKW),,MM0051EWE,"3,937,558","$94,304,120.34",6.20%
04/10/2026,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,"1,027,208","$72,027,824.96",4.73%
04/10/2026,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,"634,189","$71,270,159.82",4.68%
04/10/2026,ARKW,ROKU INC,ROKU,77543R102,"637,267","$63,752,190.68",4.19%
04/10/2026,ARKW,CIRCLE INTERNET GROUP INC,CRCL,172573107,"747,573","$63,618,462.30",4.18%
04/10/2026,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"338,318","$57,182,508.36",3.76%
04/10/2026,ARKW,COREWEAVE INC-CL A,CRWV,21873S108,"617,715","$56,829,780.00",3.74%
04/10/2026,ARKW,ALPHABET INC-CL C,GOOG,02079K107,"175,272","$55,450,802.64",3.64%
04/10/2026,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,"937,437","$51,718,399.29",3.40%
04/10/2026,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"120,667","$44,102,581.83",2.90%
04/10/2026,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"333,589","$43,530,028.61",2.86%
04/10/2026,ARKW,OpenAI Group PBC - Series C,,PPOPENAIC,"62,528","$42,999,686.48",2.83%
04/10/2026,ARKW,BLOCK INC,XYZ,852234103,"683,436","$42,844,602.84",2.82%
04/10/2026,ARKW,AMAZON.COM INC,AMZN,23135106,"171,394","$40,046,208.10",2.63%
04/10/2026,ARKW,BULLISH,BLSH,G16910120,"957,339","$34,579,084.68",2.27%
04/10/2026,ARKW,BROADCOM INC,AVGO,11135F101,"95,295","$33,821,148.45",2.22%
04/10/2026,ARKW,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"1,597,588","$33,677,155.04",2.21%
04/10/2026,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,"150,169","$28,990,125.45",1.91%
04/10/2026,ARKW,META PLATFORMS INC-CLASS A,META,30303M102,"46,265","$29,072,463.35",1.91%
04/10/2026,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"68,602","$27,075,837.36",1.78%
04/10/2026,ARKW,NETFLIX INC,NFLX,64110L106,"214,823","$21,922,687.15",1.44%
04/10/2026,ARKW,EVERPURE INC-A,PSTG,74624M102,"347,359","$20,907,538.21",1.37%
04/10/2026,ARKW,DATADOG INC - CLASS A,DDOG,23804L103,"189,229","$20,622,176.42",1.36%
04/10/2026,ARKW,FIGMA INC-CL A,,316841105,"1,059,386","$20,213,084.88",1.33%
04/10/2026,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,"136,903","$17,479,775.04",1.15%
04/10/2026,ARKW,NVIDIA CORP,NVDA,67066G104,"91,707","$16,865,834.37",1.11%
04/10/2026,ARKW,MERCADOLIBRE INC,MELI,58733R102,"9,156","$16,418,584.98",1.08%
04/10/2026,ARKW,RUBRIK INC-A,RBRK,781154109,"349,736","$16,150,808.48",1.06%
04/10/2026,ARKW,TOAST INC-CLASS A,TOST,888787108,"607,706","$15,776,047.76",1.04%
04/10/2026,ARKW,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"694,248","$15,447,018.00",1.02%
04/10/2026,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"32,009","$15,576,219.58",1.02%
04/10/2026,ARKW,DOORDASH INC - A,DASH,25809K105,"99,063","$15,310,186.65",1.01%
04/10/2026,ARKW,BAIDU INC - SPON ADR,BIDU,56752108,"136,827","$14,808,786.21",0.97%
04/10/2026,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,"3,291,377","$13,395,904.39",0.88%
04/10/2026,ARKW,GITLAB INC-CL A,GTLB,37637K108,"663,653","$13,054,054.51",0.86%
04/10/2026,ARKW,AIRBNB INC-CLASS A,ABNB,9066101,"67,365","$8,700,863.40",0.57%
