date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/22/2026,ARKW,ADVANCED MICRO DEVICES,AMD,007903107,"512,554","$145,816,487.46",8.76%
04/22/2026,ARKW,TESLA INC,TSLA,88160R101,"376,625","$145,535,432.50",8.74%
04/22/2026,ARKW,ARK BITCOIN ETF HOLDCO (ARKW),,MM0051EWE,"3,937,558","$98,005,424.86",5.88%
04/22/2026,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,"1,006,503","$86,992,054.29",5.22%
04/22/2026,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,"621,404","$81,484,706.52",4.89%
04/22/2026,ARKW,ROKU INC,ROKU,77543R102,"624,422","$71,252,794.42",4.28%
04/22/2026,ARKW,CIRCLE INTERNET GROUP INC,CRCL,172573107,"721,085","$69,238,581.70",4.16%
04/22/2026,ARKW,COREWEAVE INC-CL A,CRWV,21873S108,"583,683","$67,216,934.28",4.04%
04/22/2026,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"331,498","$64,957,033.10",3.90%
04/22/2026,ARKW,ALPHABET INC-CL C,GOOG,02079K107,"171,742","$56,755,578.74",3.41%
04/22/2026,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,"918,541","$56,269,821.66",3.38%
04/22/2026,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"338,494","$49,409,969.18",2.97%
04/22/2026,ARKW,BLOCK INC,XYZ,852234103,"669,661","$48,048,176.75",2.89%
04/22/2026,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"118,237","$43,520,674.96",2.61%
04/22/2026,ARKW,OPENAI GROUP PBC SERIES C,,PPOPENAIC,"62,528","$42,999,686.48",2.58%
04/22/2026,ARKW,AMAZON.COM INC,AMZN,023135106,"167,939","$41,969,635.49",2.52%
04/22/2026,ARKW,BULLISH,BLSH,G16910120,"906,751","$38,020,069.43",2.28%
04/22/2026,ARKW,BROADCOM INC,AVGO,11135F101,"93,375","$37,552,623.75",2.25%
04/22/2026,ARKW,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"1,565,383","$33,984,464.93",2.04%
04/22/2026,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,"147,144","$30,557,394.48",1.83%
04/22/2026,ARKW,META PLATFORMS INC-CLASS A,META,30303M102,"45,335","$30,321,861.40",1.82%
04/22/2026,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"67,222","$30,223,683.42",1.81%
